"LANDING_YEAR","AGENCY_CODE","MANAGEMENT_GROUP_CODE","COMPLEX","PACFIN_SPECIES_COMMON_NAME","PACFIN_SPECIES_CODE","NPS_LANDED_WEIGHT_MTONS","NPS_LANDED_WEIGHT_PPP","NPS_EXVESSEL_REVENUE","NPS_CONFIDENTIAL_FLAG","SPS_LANDED_WEIGHT_MTONS","SPS_LANDED_WEIGHT_PPP","SPS_EXVESSEL_REVENUE","SPS_CONFIDENTIAL_FLAG","CWA_LANDED_WEIGHT_MTONS","CWA_LANDED_WEIGHT_PPP","CWA_EXVESSEL_REVENUE","CWA_CONFIDENTIAL_FLAG","CLW_LANDED_WEIGHT_MTONS","CLW_LANDED_WEIGHT_PPP","CLW_EXVESSEL_REVENUE","CLW_CONFIDENTIAL_FLAG","WA5_LANDED_WEIGHT_MTONS","WA5_LANDED_WEIGHT_PPP","WA5_EXVESSEL_REVENUE","WA5_CONFIDENTIAL_FLAG","TOTAL_LANDED_WEIGHT_MTONS","TOTAL_LANDED_WEIGHT_PPP","TOTAL_EXVESSEL_REVENUE","TOTAL_CONFIDENTIAL_FLAG"
"2010","W","GRND","ROCK","NOM. YELLOWTAIL ROCKFISH","YTR1",8.1,.48,8590,"",,,,"",.5,.6,694,"",,,,"",,,,"",8.6,,9284,""
"2010","W","GRND","ROCK","YELLOWTAIL ROCKFISH","YTRK",524.9,.55,636314,"",,,,"",101.4,.29,65676,"",,,,"*",,,,"",626.3,,701990,"*"
"2010","W","GRND","ROND","LINGCOD","LCOD",39.3,.79,68613,"",,,,"*",6.1,.75,10096,"",1.8,.76,2985,"",,,,"",47.2,,81694,"*"
"2010","W","GRND","ROND","PACIFIC COD","PCOD",333.7,.45,332249,"",,,,"",2.3,.25,1300,"",.2,.42,154,"",,,,"",336.2,,333703,""
"2010","W","GRND","ROND","WALLEYE POLLOCK","PLCK",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","GRND","ROND","PACIFIC WHITING","PWHT",,,,"",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","GRND","ROND","SABLEFISH","SABL",365.5,4.6,3708374,"",,,,"*",311.1,4.03,2767117,"",374.4,3.45,2844170,"",,,,"",1051,,9319661,"*"
"2010","W","HMSP","....","COMMON THRESHER SHARK","TSRK",,,,"",,,,"",,,,"*",,,,"",,,,"",0,,0,"*"
"2010","W","HMSP","TUNA","ALBACORE","ALBC",239.7,1.34,710484,"",20.8,1.05,47881,"",3270,1.02,7321303,"",2448.4,1.2,6495162,"",,,,"",5978.9,,14574830,""
"2010","W","OTHR","....","EULACHON","EULC",,,,"",,,,"",,,,"",,,,"*",,,,"",0,,0,"*"
"2010","W","OTHR","....","MISC. FISH/ANIMALS","MISC",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","OTHR","....","UNSP. OCTOPUS","OCTP",.9,.72,1368,"",,,,"",,,,"*",,,,"",,,,"",.9,,1368,"*"
"2010","W","OTHR","....","PACIFIC HALIBUT","PHLB",117.6,4.98,1290800,"",.9,4.85,9714,"",14.8,4,130150,"",12.4,4.4,120715,"",,,,"",145.7,,1551379,""
"2010","W","OTHR","....","UNSP. SCULPIN","SCLP",,,,"*",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"2010","W","OTHR","....","UNSP. SHAD","SHAD",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","OTHR","....","UNSP. SMELT","SMLT",,,,"*",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"2010","W","OTHR","....","UNSP. SQUID","SQID",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","OTHR","....","UNSP. HAGFISH","UHAG",,,,"*",,,,"*",,,,"*",,,,"",,,,"",0,,0,"*"
"2010","W","OTHR","....","UNSP. SHARK","USRK",,,,"",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","OTHR","ECHN","OTHER SEA URCHINS","OURC",83.7,1.02,188882,"",,,,"",,,,"",,,,"",,,,"",83.7,,188882,""
"2010","W","OTHR","ECHN","RED SEA URCHIN","RURC",23.7,.56,29409,"",,,,"*",,,,"",,,,"",,,,"",23.7,,29409,"*"
"2010","W","OTHR","ECHN","UNSP. SEA CUCUMBERS","USCU",243.4,2.18,1172481,"",133.1,2.09,612512,"",,,,"*",,,,"",,,,"",376.5,,1784993,"*"
"2010","W","OTHR","STRG","GREEN STURGEON","GSTG",,,,"*",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"2010","W","OTHR","STRG","WHITE STURGEON","WSTG",1.8,1.64,6462,"",1.9,1.69,6945,"",21.7,2.15,102764,"",36.1,1.79,142541,"",,,,"",61.5,,258712,""
"2010","W","SAMN","....","CHINOOK SALMON","CHNK",713.1,2.03,3193724,"",496,1.86,2030705,"",390.5,4.21,3623652,"",803.9,2.23,3951956,"",,,,"*",2403.5,,12800037,"*"
"2010","W","SAMN","....","CHUM SALMON","CHUM",1523.9,.95,3198535,"",2109.4,.93,4310350,"",67.9,.53,78876,"",59.6,.99,130329,"",,,,"",3760.8,,7718090,""
"2010","W","SAMN","....","COHO SALMON","COHO",609.9,1.31,1758961,"",235.4,1.14,590884,"",750.9,1.4,2324722,"",146.8,1.09,354286,"",,,,"",1743,,5028853,""
"2010","W","SAMN","....","PINK SALMON","PINK",3.6,.2,1581,"",2.2,1.32,6337,"",,,,"*",,,,"",,,,"",5.8,,7918,"*"
"2010","W","SAMN","....","SOCKEYE SALMON","SOCK",4569.6,1.39,13975553,"",662.2,1.34,1951018,"",,,,"*",15.3,1.28,43440,"",,,,"",5247.1,,15970011,"*"
"2010","W","SAMN","....","STEELHEAD","STLH",44.1,1.34,130659,"",17.1,1.28,48146,"",86.6,1.87,356239,"",53,.89,103971,"",,,,"",200.8,,639015,""
"2010","W","SHLL","CLAM","BUTTER CLAM","BCLM",,,,"*",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"2010","W","SHLL","CLAM","BASKET COCKLE","CKLE",,,,"*",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"2010","W","SHLL","CLAM","GEODUCK","GDUK",420.3,9.88,9153706,"",1541.8,8.35,28392977,"",,,,"*",,,,"",,,,"",1962.1,,37546683,"*"
"2010","W","SHLL","CLAM","HORSE CLAMS","HCLM",,,,"*",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"2010","W","SHLL","CLAM","NATIVE LITTLENECK","LCLM",,,,"*",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"2010","W","SHLL","CLAM","MANILA CLAM","MCLM",,,,"*",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"2010","W","SHLL","CLAM","RAZOR CLAM","RCLM",,,,"",,,,"",,,,"*",,,,"",,,,"",0,,0,"*"
"2010","W","SHLL","CLAM","UNSP. CLAM","UCLM",,,,"",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"2010","W","SHLL","OYST","PACIFIC OYSTER","PSTR",,,,"*",,,,"*",,,,"",,,,"",,,,"",0,,0,"*"
"2010","W","SRMP","....","UNSP. BAIT SHRIMP","BSRM",,,,"*",,,,"*",7.2,1.85,29157,"",,,,"*",,,,"",7.2,,29157,"*"
"2010","W","SRMP","....","OTHER SHRIMP","OSRM",34.9,1.18,91029,"",,,,"",,,,"",,,,"",,,,"",34.9,,91029,""
"2010","W","SRMP","....","PACIFIC PINK SHRIMP","PSHP",24.7,.36,19633,"",,,,"",,,,"*",,,,"*",,,,"",24.7,,19633,"*"
"2010","W","SRMP","....","SPOTTED PRAWN","SPRW",109,5.4,1297572,"",25.1,3.8,210202,"",63.4,5.08,710015,"",,,,"",,,,"",197.5,,2217789,""
"2010","W","SRMP","....","UNSP. OCEAN SHRIMP","USRM",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2010","W","XXXX SUBTOTAL","","WITHHELD FOR CONFIDENTIALITY**","",337.3,,816590,"",606.9,,2943490,"",42219.7,,10296958,"",6719.3,,1521916,"",.3,,1806,"",49883.5,,15580760,""
"2011","W","CPEL","....","PACIFIC HERRING","PHRG",,,,"*",131.7,.39,112155,"",,,,"*",,,,"*",,,,"",131.7,,112155,"*"
"2011","W","CPEL","WETF","CHUB MACKEREL","CMCK",,,,"",,,,"",,,,"",,,,"*",,,,"",0,,0,"*"
"2011","W","CPEL","WETF","JACK MACKEREL","JMCK",,,,"",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2011","W","CPEL","WETF","NORTHERN ANCHOVY","NANC",,,,"",,,,"",151.9,.07,25029,"",,,,"*",,,,"",151.9,,25029,"*"
"2011","W","CPEL","WETF","PACIFIC SARDINE","PSDN",,,,"",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2011","W","CPEL","WETF","UNSP. MACKEREL","UMCK",,,,"",,,,"",,,,"",,,,"*",,,,"",0,,0,"*"
"2011","W","CRAB","....","DUNGENESS CRAB","DCRB",3715.8,3.38,27713194,"",412.7,3.63,3300181,"",6544.1,3,43277485,"",1694,2.6,9698911,"",,,,"*",12366.6,,83989771,"*"
"2011","W","GRND","FLAT","ARROWTOOTH FLOUNDER","ARTH",270.1,.1,60015,"",,,,"",,,,"*",291.4,.11,67976,"",,,,"",561.5,,127991,"*"
"2011","W","GRND","FLAT","DOVER SOLE","DOVR",296.7,.42,272772,"",,,,"",,,,"*",,,,"*",,,,"",296.7,,272772,"*"
"2011","W","GRND","FLAT","ENGLISH SOLE","EGLS",,,,"*",,,,"",,,,"",,,,"*",,,,"",0,,0,"*"
"2011","W","GRND","FLAT","PETRALE SOLE","PTRL",187,1.34,552285,"",,,,"",,,,"*",47.1,1.5,155519,"",,,,"",234.1,,707804,"*"
"2011","W","GRND","FLAT","REX SOLE","REX",,,,"*",,,,"",,,,"",,,,"*",,,,"",0,,0,"*"
"2011","W","GRND","FLAT","ROCK SOLE","RSOL",,,,"*",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"2011","W","GRND","FLAT","SAND SOLE","SSOL",,,,"*",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"2011","W","GRND","FLAT","STARRY FLOUNDER","STRY",,,,"*",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"2011","W","GRND","FLAT","UNSP. SANDDABS","UDAB",,,,"*",,,,"",,,,"",,,,"*",,,,"",0,,0,"*"
"2011","W","GRND","FLAT","UNSP. FLATFISH","UFLT",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2011","W","GRND","MGRN","SPINY DOGFISH","DSRK",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2011","W","GRND","MGRN","LONGNOSE SKATE","LSKT",39.7,.3,26135,"",,,,"",.4,.21,186,"",,,,"*",,,,"",40.1,,26321,"*"
"2011","W","GRND","MGRN","SOUPFIN SHARK","SSRK",,,,"",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2011","W","GRND","MGRN","UNSP. SKATE","USKT",22.9,.37,18465,"",,,,"",,,,"*",,,,"*",,,,"",22.9,,18465,"*"
"2011","W","GRND","ROCK","AURORA ROCKFISH","ARRA",,,,"*",,,,"",.3,.4,270,"",1.9,.5,2102,"",,,,"",2.2,,2372,"*"
"2011","W","GRND","ROCK","BANK ROCKFISH","BANK",,,,"",,,,"",0,.43,23,"",.2,.49,185,"",,,,"",.2,,208,""
"2011","W","GRND","ROCK","BLACKGILL ROCKFISH","BLGL",,,,"*",,,,"",.1,.47,117,"",.7,.49,757,"",,,,"",.8,,874,"*"
"2011","W","GRND","ROCK","NOM. BLACK ROCKFISH","BLK1",,,,"*",,,,"",,,,"*",,,,"",,,,"",0,,0,"*"
"2011","W","GRND","ROCK","BLACKSPOTTED ROCKFISH","BSPR",.1,.47,135,"",,,,"",.2,.42,178,"",.7,.5,763,"",,,,"",1,,1076,""
"2011","W","GRND","ROCK","NOM. CANARY ROCKFISH","CNR1",.1,.59,138,"",,,,"",,,,"*",,,,"",,,,"",.1,,138,"*"
"2011","W","GRND","ROCK","CANARY ROCKFISH","CNRY",3.1,.54,3747,"",,,,"",9.4,.38,7854,"",,,,"*",,,,"",12.5,,11601,"*"
"2011","W","GRND","ROCK","DARKBLOTCHED ROCKFISH","DBRK",2.8,.52,3272,"",,,,"",0,.43,45,"",11.3,.5,12472,"",,,,"",14.1,,15789,""
"2011","W","GRND","ROCK","GREENSTRIPED ROCKFISH","GSRK",0,.6,28,"",,,,"",,,,"*",,,,"*",,,,"",0,,28,"*"
"2011","W","GRND","ROCK","LONGSPINE THORNYHEAD","LSPN",,,,"*",,,,"",1.2,.3,835,"",124.9,.46,127357,"",,,,"",126.1,,128192,"*"
"2011","W","GRND","ROCK","NOR. UNSP. SHELF ROCKFISH","NUSF",15.6,.38,13100,"",,,,"",,,,"*",,,,"",,,,"",15.6,,13100,"*"
"2011","W","GRND","ROCK","NOR. UNSP. SLOPE ROCKFISH","NUSP",.1,.64,127,"",,,,"",,,,"*",,,,"*",,,,"",.1,,127,"*"
"2011","W","GRND","ROCK","NOR. UNSP. NEAR-SHORE ROCKFISH","NUSR",,,,"*",,,,"",,,,"*",,,,"",,,,"",0,,0,"*"
"2011","W","GRND","ROCK","PACIFIC OCEAN PERCH","POP",5.8,.52,6724,"",,,,"",1.9,.4,1697,"",12.1,.49,13185,"",,,,"",19.8,,21606,""
"2011","W","GRND","ROCK","REDBANDED ROCKFISH","RDBD",11.6,.62,15701,"",,,,"",1.9,.62,2604,"",2.1,.56,2646,"",,,,"",15.6,,20951,""
"2011","W","GRND","ROCK","ROUGHEYE ROCKFISH","REYE",25,.59,32820,"",,,,"",8.1,.58,10501,"",17.4,.5,19069,"",,,,"",50.5,,62390,""
"2011","W","GRND","ROCK","ROSETHORN ROCKFISH","RSTN",.4,.65,566,"",,,,"",2.2,.41,1983,"",.8,.5,924,"",,,,"",3.4,,3473,""
"2011","W","GRND","ROCK","SHARPCHIN ROCKFISH","SHRP",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2011","W","GRND","ROCK","SILVERGRAY ROCKFISH","SLGR",.2,.48,166,"",,,,"",,,,"*",,,,"",,,,"",.2,,166,"*"
"2011","W","GRND","ROCK","SPLITNOSE ROCKFISH","SNOS",.2,.55,198,"",,,,"",0,.5,52,"",1.5,.5,1652,"",,,,"",1.7,,1902,""
"2011","W","GRND","ROCK","SHORTRAKER ROCKFISH","SRKR",3,.55,3648,"",,,,"",1.6,.52,1897,"",11.5,.5,12719,"",,,,"",16.1,,18264,""
"2011","W","GRND","ROCK","SHORTSPINE THORNYHEAD","SSPN",31.1,.62,42547,"",,,,"",6.6,.7,10197,"",80.2,.51,89734,"",,,,"",117.9,,142478,""
"2011","W","GRND","ROCK","UNSP. ROCKFISH","URCK",,,,"",,,,"",1.9,.74,3079,"",,,,"*",,,,"*",1.9,,3079,"*"
"2011","W","GRND","ROCK","WIDOW ROCKFISH","WDOW",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2011","W","GRND","ROCK","NOM. WIDOW ROCKFISH","WDW1",,,,"*",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"2011","W","GRND","ROCK","YELLOWEYE ROCKFISH","YEYE",.2,.84,415,"",,,,"",,,,"*",,,,"*",,,,"",.2,,415,"*"
"2011","W","GRND","ROCK","YELLOWMOUTH ROCKFISH","YMTH",,,,"*",,,,"",,,,"*",0,.68,40,"",,,,"",0,,40,"*"
"2011","W","GRND","ROCK","NOM. YELLOWTAIL ROCKFISH","YTR1",4.9,.42,4591,"",,,,"",.5,.88,1013,"",,,,"*",,,,"*",5.4,,5604,"*"
"2011","W","GRND","ROCK","YELLOWTAIL ROCKFISH","YTRK",408.7,.55,495508,"",,,,"",140.2,.4,123584,"",,,,"*",,,,"",548.9,,619092,"*"
"2011","W","GRND","ROND","LINGCOD","LCOD",112.6,.81,201220,"",,,,"",4.6,.77,7805,"",30.4,.75,50352,"",,,,"*",147.6,,259377,"*"
"2011","W","GRND","ROND","PACIFIC COD","PCOD",336,.53,390304,"",,,,"",2.5,.27,1503,"",2,.26,1184,"",,,,"",340.5,,392991,""
"2011","W","GRND","ROND","WALLEYE POLLOCK","PLCK",,,,"*",,,,"",,,,"*",,,,"",,,,"",0,,0,"*"
"2011","W","GRND","ROND","PACIFIC WHITING","PWHT",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2011","W","GRND","ROND","SABLEFISH","SABL",359.3,5.88,4657618,"",,,,"*",253.5,5.35,2989334,"",530.7,4.04,4721428,"",,,,"",1143.5,,12368380,"*"
"2011","W","HMSP","....","BLUE SHARK","BSRK",,,,"",,,,"",,,,"*",,,,"",,,,"",0,,0,"*"
"2011","W","HMSP","TUNA","ALBACORE","ALBC",268.7,2.04,1206512,"",,,,"*",3579.8,1.47,11640645,"",2153.6,1.97,9373156,"",,,,"*",6002.1,,22220313,"*"
"2011","W","HMSP","TUNA","SKIPJACK TUNA","STNA",,,,"*",,,,"",,,,"",,,,"",,,,"",0,,0,"*"
"2011","W","OTHR","....","MISC. FISH/ANIMALS","MISC",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2011","W","OTHR","....","UNSP. OCTOPUS","OCTP",1.5,.75,2521,"",,,,"",,,,"",,,,"*",,,,"",1.5,,2521,"*"
"2011","W","OTHR","....","PACIFIC HALIBUT","PHLB",148.1,5.89,1921489,"",.9,4.85,9618,"",23.2,5.31,271147,"",10.4,5.73,130859,"",,,,"",182.6,,2333113,""
"2011","W","OTHR","....","UNSP. SCULPIN","SCLP",,,,"*",,,,"",,,,"*",,,,"",,,,"",0,,0,"*"
"2011","W","OTHR","....","UNSP. SHAD","SHAD",,,,"",,,,"",,,,"*",6,.29,3893,"",,,,"",6,,3893,"*"
"2011","W","OTHR","....","UNSP. SMELT","SMLT",,,,"*",37,.51,41915,"",,,,"",,,,"",,,,"",37,,41915,"*"
"2011","W","OTHR","....","UNSP. SQUID","SQID",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2011","W","OTHR","....","UNSP. HAGFISH","UHAG",,,,"*",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2011","W","OTHR","....","UNSP. SHARK","USRK",,,,"",,,,"",,,,"*",,,,"*",,,,"",0,,0,"*"
"2011","W","OTHR","ECHN","OTHER SEA URCHINS","OURC",51.9,1.03,117556,"",,,,"*",,,,"",,,,"",,,,"",51.9,,117556,"*"
